,age,body_type,diet,drinks,drugs,education,essay0,essay1,essay2,essay3,essay4,essay5,essay6,essay7,essay8,essay9,ethnicity,height,income,job,last_online,location,offspring,orientation,pets,religion,sex,sign,smokes,speaks,status
3796,28,overweight,anything,rarely,never,graduated college university,ve putting question topic broad supposed describe little box think ll take easy way say want know ll ask,right now trying decide rest life always interested culture others although armchair anthropologist year yet really experience foreign culture firsthand studying japanese last two year love move year teach english well really immerse language culture thought moving far away somewhat intimidating perhaps ll start vacation,ballroom dancing latin dancing puzzle logic game video game studying class interest oversleeping workday singing least think procrastinating top good sense direction,don know first thing notice first thing comment usually eye color ve heard range description beautiful freaky guess add pointy vampire teeth list yes natural real vampire look positive side least halloween costume already taken care,book wheel time series blind assassin harry potter sci fi fiction movie princess bride lucky number slevin holiday inn zombieland boondock saint der krieger und die kaiserin tv show psych office frasier almost show involving forensics iljamae big bang theory community music really love kind music lately ve listening lot reggaeton don omar daddy yankee dance electronica enjoy alternative rock metal pop classical country awesome ve heard crossfade one favorite band food love japanese food visit sushi place near work often sushi chef first name basis will eat pretty much anything avocado avocado amazing,music regardless whether good love sing dance cheese self explanatory think netflix smartphone really hate dependent video game cute shoe may wear time large quantity girl,ve extremely busy ve feeling ve forgotten something important lately spend lot time thinking,busy week work want nothing relax watch movie hang friend read good book lately ve hard work trying rescue princess zelda,will admit nothing way plausible deniability,think might along want know want tell something joke around love laugh rarely take others seriously something substance say hey variety crude suggestion won repeat former re giving lot work latter well rude,white,64,,clerical administrative,2012 06 30 00 03,palo alto california,doesn rsquo kid,straight,like dog cat,atheism serious,,libra doesn rsquo matter,,english fluently japanese okay german okay,single
3804,27,average,mostly anything,socially,never,graduated two year college,focused career secure happy work sale event love love wine dog ivy new experience awesome moment music indi film concert baking happy hour chico sunday spending time family friend anything outside want someone go crazy thing explore new place stay bed day sunday drink champagne someone hilarious keep sarcasim finally someone grow,surviving,making light thing,eye lack routine,far many list love typical movie music way indie music film reality tv fan food mexican eat mexican food happy,dog wine car family friend coffee,future,exhausted,still teddy bear ve born,re funny social cute good kisser cuddle ton fun,white,63,50000,sale marketing biz dev,2012 03 25 17 04,alameda california,doesn rsquo kid want,straight,dog like cat,christianity somewhat serious,,virgo rsquo fun think,,english fluently,single
3811,20,curvy,strictly anything,socially,never,graduated high school,pretty much love good rock roll party time citayyyy wooooo,lot good time 1969,batmintun checker jogging cooking biskuts boy,intelligence charm lt,forest gump 24 bible,soy vitamin fiji water leather glove hair shampoo hair conditener,going msg next,partyin wooo,play lol,think seem intrestin,white,69,20000,unemployed,2012 06 28 21 11,san francisco california,doesn rsquo kid want,straight,dog cat,christianity somewhat serious,,aquarius rsquo fun think,,english fluently hebrew fluently yiddish fluently,single
3824,39,athletic,mostly anything,often,sometimes,graduated ph program,real come describing box antithesis life offer believe chivalry strong whiskey sassy sexy amp smart woman,trying take space making world better place,creating energy making margarita told good real true friend teaching seeing thing side,smile charisma deep amp passionate sense ability talk anything amp everything,love old book amp russian author gotta music make want live music amp show grand museum grand experience especially stormy day sporting bottle wine pack enjoy random entryway sketch write viewing lover food tasty whether good bad live right,family amp horse family pen paper art amp knowledge ranch amp entail skiing friend mother earth ok cheated little bit,next outing going breed certain horse build next dinner amongst thing,enjoying end week,ask,,hispanic latin,70,,,2012 06 29 06 43,san francisco california,doesn rsquo kid,straight,like dog like cat,,,taurus rsquo fun think,sometimes,english fluently spanish okay,single
3849,24,average,mostly anything,often,sometimes,graduated college university,,sleeping breathing drinking eating shitting fucking walking talking driving cry laughing sighing flying lying living dying,smiling,guy hey jesus girl ohh myy gooddd hairrr sooo beautifulll guess hair,author kenneth rexroth neal cassady aim csaire joseph conrad emily dickinson voltaire alexander pope gabriel garca mrquez homer sophocles tolkien haruki murakami salinger mark twain kurt vonnegut plato lyn hejinian edgar allan poe herman melville jack kerouac william shakespeare allen ginsberg john milton music led zeppelin fly pan pink floyd fela kuti beatles spaceman elvis presley quicksilver messenger service scarlatti vaseline clint mansell matthew dear james brown amp famous flame sufjan stevens imagination kanye west celia cruz wood ritchie valens caribou cardigan beach house nine inch nail spiritualized etta james entrance gil scott heron gas health stroke dionne warwick donna summer jimi hendrix carly simon jay grandmaster flash amp furious five otis rush boney beck thief isole panda bear nick drake four tet temptation toyes mose allison mozart teena marie verdi wolf throne room dj shadow rolling stone dilla jackson mm stevie wonder aphex twin king crimson devendra banhart brian eno flying lotus john cage daft punk thelonious monk frank zappa kraftwerk fleet fox explosion sky glasser thee oh see movie 2001 space odyssey fight club breathless jacob ladder apocalypse now godfather star war jurassic park memento pulp fiction food,music sex love poetry spaghetti meatball,everything,drink two smoke two either listening music making music,wish bisexual,re bored want throw around conversation awkwardness nonsense brilliance call poetry,hispanic latin white,74,50000,artistic musical writer,2012 06 29 17 45,san francisco california,doesn rsquo want kid,straight,like dog cat,laughing,,gemini doesn rsquo matter,drinking,english okay spanish poorly,single
3855,23,average,mostly anything,socially,sometimes,working two year college,average california guy born raised san mateo enjoy bay offer glorious coast tantalizing mountain favorite pastime cruising twisty mountain road motorcycle day car light moon recently begun new chapter life includes amazing job bad as new start living supporting working regularly returning school finish education perfect match earth independent woman handle intelligent conversation confident plan life able go flow able drive stick flip blunt time major kudos book,making short term plan accomplish long term goal,,height subaru,listen everything except country music banda enjoy movie genre big low budget horror flick reading preference god delusion death black hole origin race zero point siddhartha shakespeare work einstein relativity plato republic fiction eragon series ender game etc,family friend car phone computer blue steel,future alternative energy universe car,nice bbq work driving mountain meeting friend drink local bar hang,used fat,need speed enjoy little thing life somewhere time don care daily happening snookie,white,75,30000,,2012 06 12 20 07,san mateo california,doesn rsquo kid want,straight,like dog dislike cat,atheism laughing,,virgo doesn rsquo matter,,english,single
3858,42,fit,mostly anything,socially,never,graduated high school,ok blunt way born female transitioned male year ago option okcupid someday ok done ask detailed question later far love life love laugh experience joy bliss live life fullest love music listening playing writing performing love art dance anything creative parent amazing beautiful dad magical amazing almost year old girl metaphysical anything cool spiritual fashion artistic expression everyday expression animal nature nature nature community kindness love freedom dancing seeing general magic around time homesteading organic delicious food amish homesteading community bit freedom say polyamorous community surfing hiking kayaking camping traveling exploring want relationship feel wanting steady one person commitment bit open relationship sort polyamorous ve never really done will tread carefully yes know ve got read ethical slut want somewhat traditional relationship occasional exploration adventure sexual variety don know yet perhaps open third partner thing evolve organically right,fun parent best decision ve made heart opening mind blowing satisfying experience instantly connects joy love beauty bliss constantly reminded energy focus starting teaching folk guitar lesson cmt private practice expanding business wanting make money working interest investment property perhaps road learning practicing art fun adventure stoked ness life used sf band year now thinking starting new musical project excited fun little crush getting really good manifesting want big small,lot different thing,green eye sense humor,book abraham hick series metaphysical book harry potter poetry cookbook last child wood honestly childrens book lushly illustrated sweet story great movie midnight paris henry amp june goodfellas harry potter film star war series raider lost ark wonderful life lot music much patti smith nick cave bad seed led zeppelin nina simone beirut arcade fire etta james tom wait mozart eric satie belle sebastian beatles kink cramp ramones start food love indian food japanese vegan vegetarian yet great steak american comfort food done well love food general,daughter laughter humor music singing song playing music listening music great food great wine food nice strong beer food great friend touch tenderness compassion sex nature human companionship spirituality connected source family ocean stuff love limit thing gratitude list,make money don work much time adventure fun freedom time daughter friend family dating expanding business enjoying life better person parent creating life consciously,good question daughter friday night ex really amazing terrific term btw flexibility trade night lil one amazing show want etc er night don precious daughter dinner friend hanging home friend dinner party going club seeing band worth seeing much homebody loving going amazing dinner going dancing silly movie event,already spilled gut transgendered will suffice now think anything moment,feel connected ve read feel right contact refining want relationship exploring right now,white,67,,medicine health,2012 06 24 23 15,san francisco california,kid,bisexual,like dog like cat,laughing,,cancer rsquo fun think,,english fluently spanish okay french poorly,single
3877,27,average,,socially,never,graduated college university,panda tattoo motorcycle shoe accounting drinking snowboarding reading eating corset leather gun live music traveling grew splitting time hippy mother marine father led interesting outlook life love dead baby distaste hippy ve moved across bay berkeley san francisco gave car ve never lived side bay looking forward adventure,finishing cpa working really awesome company sf riding motorcycle place trying sort new restaurant hanging friend making fun hippy random photo shoot may may involve weapon corset motorcycle got place 2012 nike woman marathon october mean quiting smoking actually real training really stave boredom,sarcasm spreadsheet running slowest mile really stretch still call jogging drinking accountant isn good drinking,don watch care say,lot science fiction novel every time read starship trooper wonder haven joined military come back realize money people try kill think book ve re read dune whole series several time year usually try watch independent film one end choosing usually ridiculous stop laughing theater mainstream film hardly every find time see come dvd don watch much don mind downloading show internet far mainly archer met yer mom big bang theory recently ve turned mad men game throne listen lot indie alternative music ve got ticket invite different show practically every weekend right now sort dream pop spiral eat lot don cook mainly form asian reminds home,panda phone book motorcycle family friend,sorry state world economy forgetting sorry state world economy wondering people stupid zombie apocalypse go next ride surprise threesome,club hanging employee drinking way much making bad decision require tattooing reminder somewhere body ask rest week tell won home,might small fascination panda,motorcycle enjoy snow tattoo dislike hippy want buy panda thing want try new restaurant half assedly run several mile time re tall enough ride ride,asian hispanic latin,71,,banking financial real estate,2012 06 29 09 07,san francisco california,doesn rsquo want kid,straight,cat,laughing,,aries doesn rsquo matter,drinking,english fluently spanish poorly,single
3881,25,average,mostly anything,often,sometimes,graduated college university,dude tryin chill cool chick,ve year finishing school now finishing first year work trying figure next working hard improve writing musical ability trying become fluent portuguese difficult incredibly fun usually show watching soccer way early international time difference drink friend hanging beach park variety thing life pretty fun right now honest,learning easily amused playing writing music subtle humor listening people making hashbrowns commenting thing,gender almost always gender,book ve kurt vonnegut kick lately recent discovery re read la mollie king tear 1984 beware god chronology water twelfth night road movie ve watched city god time care admit arnofsky great united state leland eternal sunshine bad santa fire sky scared shit kid show don cable don watch much try keep dexter always sunny philadelphia eastbound amp maybe others music music probably important thing life real list ridiculous artist ve frequenting playlist lately though cut copy steely dan nicolas jaar trentemoller cant soul clap mercury program beach house modeselektor king convenience polia marvin gaye geographer tortoise etc etc etc big country opera though sorry lady food shrimp people ll try thing come across love italian food embarrassingly messy wing eater,water music sunlight hypothetical situation book people enjoy around,music art general language space writing people thinking dog color,alive typically,pulp make orange juice way interesting,want want use site something creepin,hispanic latin,67,,entertainment medium,2012 06 30 10 40,san francisco california,doesn rsquo kid,straight,like dog,agnosticism laughing,,cancer doesn rsquo matter,,english fluently portuguese okay spanish poorly,single
3888,24,average,strictly,rarely,never,working ph program,self referential,understanding everything one theory time,differentiating constant multiplying element trivial group proving theorem allowed assume false finding fundamental group simply connected surface,order terseness profile current length hair 25 cm longer profile picture,book song ice fire ireland rosen classical introduction modern number theory scratch monkey malazan book fallen neverwhere cyberiad carroll spacetime geometry sandman aronson social animal girl dragon tattoo movie television pan labyrinth gattaca primer voice distant star firefly district momento dr strangelove learned stop worrying love bomb,wilsonian renormalization rice lolcats mathematica board game rope,misplaced factor pi,subset following cooking playing board game reading playing ddr failing waltzing coding sleeping working looking picture cat internet,don believe music,need find extremum poset bounded chain realized profile provides negligible information curious learn,white,70,,student,2012 06 29 17 31,menlo park california,doesn rsquo want kid,straight,like dog like cat,atheism somewhat serious,,aquarius doesn rsquo matter,,english fluently latin poorly okay lisp poorly,available
3902,55,average,mostly anything,socially,never,graduated master program,see someone patient life foible kind needed try compassionately say hard thing independent sociable someone laugh easily loudly comfortable silence like hold hand ll listen story interest worry patience understanding goofy wise someone heart love bed activity associated love waking new day throughout life journey ve sustained nurtured solid family support system spiritual path great love music bent towards inquiry fairly robust reading habit deep love coffee burning need go outside end ve several fulfilling disparate career cartographer graphic artist educator landscape renovator camping gear well used hiking boot well traveled sailboat kayak enduring place heart great wish sentient being happy free,frequently going hear music gardening dinner friend family reading reading reading meditating trying keep aging body flexible exercise working lot developing small business private practice educational therapy garden renovation staging company always learning,appreciating life pitching tent connection finding humor situation growing rose project practicing metta,pretty tall don shy away heel,ok neuron firing current non fiction read switch change thing change hard making way dan roam unfolding napkin mean teaching new concept private practice book stuck kingsolver prodigal summer road bill bryson lot anne tyler hegland forest larry mcmurtry couch usually read several library book several landscaping manual one buddhist instruction manual economist book adaptation fascinating story twyla thwarp development spitfire heard interview author npr ve recently see sf opera little mermaid incredible performance disney version blue man show much preferred stomp ve heard compared regular bob re town admit recently line college kid family see midnight show final harry potter favorite meal eat breakfast full house anyone mostly eat healthily prefer italian chinese lean towards dessert really don understand anybody liking anything melon family,love coffee book touch humor outdoors,mindfulness,wishing impetus make back door love meeting dinner going movie learning swing dance hearing music going friday night sit meditation center usually willing sometimes need little encouragement motate,sorry say snore,re grounded grown rascally well developed appreciation good life,white,71,,education academia,2011 11 18 14 06,oakland california,kid,straight,like dog cat,buddhism somewhat serious,,scorpio rsquo fun think,,english fluently,single
3911,46,fit,anything,socially,never,graduated ph program,scientist day musician cocktail aficionado night may work scientist creative artistic side important musician day job read lot blog book photography architecture old neon sign graphic design day gone urban archaeology love walking city exploring different neighborhood camera hand outdoors day hike much prefer spend night nice lodge bar warm bed sleeping outside ground mean wasn civilization invented specifically wouldn sleep ground prefer art gallery symphony ice cold martini dark lounge beer dive bar skiing paragliding skydiving yep city boy heart love travel whether flying europe new york driving across country hitting bunch quirky small town along way,looking aren dating,good boyfriend won forget birthday valentine ll walk dog ll cook breakfast ll good listener will talk relationship want ll make laugh ll call back ll muse mine,eye,book currently tear reading classic never read school probably finished native son room view next middlemarch tv mad men bsg daily show wire deadwood boardwalk empire weed true blood breaking bad music love old jazz 1920s 1950s ella fitzgerald duke ellington artie shaw etc love old country western swing new wave 1980s bossa nova etc actually much don except hip hop movie love movie genre prefer depends mood recently saw life others dvd pretty blown away fun go see loud blockbuster awhile followed week later quiet foreign film,family friend book sorry kindle sense humor ella fitzgerald curiosity internet god sad,commit perfect crime,committing perfect crime,sentimental sometimes cry sappy movie fact even cried end air bud ii golden receiver airplane true story,re creative creative guy quirky sense humor love good conversation drink probably wouldn along well re rabid republican ultimately looking long term relationship willing fun along way please note looking kid already great,white,73,100000,science tech engineering,2012 06 17 14 04,san francisco california,doesn rsquo want kid,straight,like dog,atheism laughing,,cancer doesn rsquo matter,,english fluently,single
3920,42,average,strictly anything,socially,never,graduated college university,richard lived california kid currently kabul right now love going beach camping hiking easy going passionate loving,enjoying,amusing poeple,loyal sense humor smile memory meet someone remember name name family yes sale,harry potter action comedy,god kid family intuition friend dream ohh thats well love breaking rule sometimes lol,re serbian church across street party make people tick something listened npr new discovery made neuroscience,dinner friend house checking event city maybe show fillmore cobb etc,know find lol,re tired usual bologna single people looking someone honest real co dependent jealous emotionally available good sense humor may sarcastic love laugh looking best friend may become time,hispanic latin white,60,80000,military,2011 11 11 03 06,san francisco california,kid,straight,dog,catholicism serious,,libra rsquo fun think,,english fluently spanish poorly,single
3925,26,fit,mostly vegetarian,socially,sometimes,graduated college university,hello ok cupid people baaack poking around little though really sure take site seriously twin sister meet love life yeah may reason still honesty ve attempted write self summary time different social networking site dating site ve graced though ve realized exceedingly difficult accurately describe although feel introspective self aware blind spot fault willing admit online summary will now will probably read month decide doesn justice anymore make change accordingly proverbial chameleon world keep changing change along ramblings often ponder point life love main answer come consistently many kind love still discovering new way love know love deeply decided love will love forever referring romantic love familial platonic love important openly affectionate pda participant well voyeur favorite spotting old timer holding hand tightly walk street seeing two people lot chemistry beginning relationship kissing finding way make physical contact music another answer almost every one memory song go sing constantly keep happy sane hah life without music life worth living dance lot privacy apartment go shake booty side note much scene anymore drunk men trying bed become laughable given many year experience bartender ve heard every pick line seen almost every approach one take bed another treat sentient human boob as vagina leg might along maybe believing another answer believe world better believe make difference believe people want good sometimes way believe change wish see world believe take care believe interconnectedness being every decision make affect whole world varying degree overall say never really answer mysterious unknown inconceivable life often remind okay know okay unsure someone something okay wade big gray area,trying really live survive trying figure really reason graduated university hawaii manoa bachelor woman study minor spanish planning going grad school master gender study point near future right now trying figure happy use world dream traveling non stop every country learning new thing every day time money weren issue,talking stranger listening adventurous dancing hour straight offering advice organizing people life pay hiking making dish involve kale kissing making delicious drink massage finding cool music appearing calm really nervous,talkative fairly open inviting guess many say eye look picture sure tell,book anything social science section queer theory race gender whiteness power oppression love bell hook andrea smith susan bordo eve ensler carol gilligan etc love david sedaris love writing reading poetry movie movie make think life going world love every scene meaning behind every note well composed piece music got netflix ve watching lot crap lot really good documentary anything national geographic discovery documentary 180 degree south music listen lot mellow stuff tempo lo fi enjoy hip hop jazz blue world dance jawaiian even pop sometimes must least 000 artist group itunes music definitely something talk hour two favorite thing sing turn people new music wish voice bit better make living singing need start guitar lesson finally play guitar thievery corporation federico aubele zero morcheeba erykah badu anything tempo reggae jawaiian justin nozuka bonobo weekend player radio citizen dido maroon amos lee jose gonzales ray lamontagne la roux adele citizen cope bb king ella fitzgerald elton john stevie nick led zeppelin ceu rhcp incubus ben harper bob marley sublime pepper rebelution nina simone cinematic orchestra goldie damien rice john legend sade tribe called quest rosa passos lauryn hill bebel gilberto antonio carlos jobim many many,twin sister kale intimacy love familial romantic deep connection writing art self expression escaping nature traveling music singing dancing ocean sense humor laughter 10 introspection,life love will find someone will love way love way want love going eat next meal different everyone tropical beach going life will actually make difference world beautiful incredible dolphin ton certifiably crazy people city always sit next bus happens die religion don organize mass will start wanting kid eventually fluidity gender sexuality identity label race relation feminism feminist issue,friend,hip idea behaving way people expect behave woman don dream settling getting married child difficult date someone hardcore religious although practice acceptance usually practice tolerance think bullshit way saying accept someone really think way better nice enough different person maybe ll see way best change admit view life probably will change older ok,enjoy spending time quality people message want interesting conversation please waste time fun drink hang indoors go party every night type person,white,64,,sale marketing biz dev,2012 06 30 10 41,san francisco california,doesn rsquo kid might want,straight,like dog like cat,,,capricorn rsquo fun think,,english fluently spanish okay,single
3948,28,curvy,strictly anything,socially,sometimes,dropped ph program,first queer bisexual fiance jayunderscore uk sure seeking another relationship per se guess looking smartly dressed creative people cook ll dish prefer someone submissive switchy nature arm candy someone talk dirty talk social justice flag hunter green purple houndstooth left argyle right open trying thing one night stand ok though prefer one year stand menfolk will probably shot entitlement check man profile message talk lot sort sex will likely respond favourably don overwhelmed talk sexual politics talk sex politics will bed one dimensional expect people around men type say expect anti patriarchy dapper dandy really mean better take time ready least take care appearance lover competition attention re earth laid back incredibly spiritual hippie fun person looking fun probably won well give passionate people slightly unstable queer every sense want untamed people fueled acetylene rarest bird socially functional geek drama don mind baggage rather around someone owns someone pretend don trying damnedest accept idle life figuring opt many system see bring stress debt life vein working hand knitting mending sewing gardening building try trade instead buy freecycle instead consume lot social justice activism particularly around sex worker right choose example life think people freedom lead self employed social medium marketing moment love work work much need order keep roof head food belly beer flowing along occasional luxury course xkcd addicted instagram postin mouse clickin twittersexual presented sxsw sex work social medium deviant sort fun way nonsexual hot clear communication best lube well spit bacon grease really wanna smut sock puppet kitten shit marshmallow people look little nervous serious obsession victorian ailment wedekind cephalopod enjoy british humour dry sarcastic delicately witty tattooed molecule xkcd image oh play air hockey forfeit strip scrabble don particularly sport unironic gender stereotyping snark still relatively normal stuff flower ice cream sundae going dinner movie may seem rather trite still voluble volatile venereous,one foot london one oakland moment fiance moving california next winter spring meantime thing blogging kittystryker blog writing huffpo huffingtonpost kitty stryker sex work activism sex worker outreach project pr queer run queer performed live sex show discussing consent culture organizing lady high tea pornography society won erotic award taunting people fetlife going interesting party bit ly 15mzpy adding steampunk clothes collection thing ve done previously spoken sxsw building rocket ship burning man raygungothicrocket founded kinky club night london kinkysalonlondon co uk strap sex coffin monochrom blog index php op viewarticle amp articleid 847 amp blogid competing air sex tournament youtube watch ofzvjebbbkq,color matching compassion debate inter intra personal intelligence causing trouble cooking vegan food even though vegan accumulating cat geeking costume design thrift store clothes helping hide body,usually eye either crinkled laughter filled inexplicably tear soppy commercial intensely focused see something,ghost map good omen brave new world briar rose velderet sexy witch urban primative tam lin fat story everything know sex wrong five child stitch bitch macho slut art seduction history lesson mr popper penguin foxfire swordspoint dharma punx public sex leather daddy femme anything terry pratchett marge piercy cummings carol queen dossie janet neil gaiman pd wodehouse charles bukowski charles de lint oh lot pan labyrinth cheerleader bright young thing magdalene sister hedwig angry inch priscilla queen desert gosford park slut goddess ed wood secretary eternal sunshine spotless mind serenity quill dangerous liasions billy elliott life brian kinky boot mr henderson present tv wise project runway supersizers go eat buffy jeeves wooster torchwood firefly dr horrible crowd mighty boosh jonathan coulton pixy tough love correspondent jellyfish dj bunnyjoe ton lehrer story belle sebastian postal service brand new pipette wet spot cut copy dresden doll joanna newsom modest mouse muse tmbg sia ani difranco zero nin old madonna vintage music 1910 1960 musical soundtrack spring awakening hedwig sweeney todd chicago cabaret really organic free range food happy meat eater killed meat sort ethnic food especially thai indian though mac cheese pie favorite now went scotland sushi favorite going dinner meal dim sum morning meal ok ok except bacon want sleep bacon lox re staple earl grey tea said boy ex vegan survived without meat possible dessert wise love ice cream chocolate cheesecake make happy girl summary cook will incredibly successful horrible cook great cleaner ll clean house almost without thinking,ability read laptop wireless access tiny hat wait guess live without passport music truly drug choice affection playful absurdity rather without kitten cold dark world without kitten,cholera oh privilege sex work gender pronoia psychology politics sexuality class ethic kink philosophy polyamory stuff mostly cholera,don typical friday anything heading camping reviewing sex toy knitting home watching documentary playing ddr working fundraiser picture,ve got really nice exterior hiding bitter somewhat mean wafer layer cover even nicer center,re rake riot grrl queer geek femme gender masculinity glam side beard hairstyle cut style believe sex worker people deserving human right don conversation appreciate cruising failblog ichc snuggling naked lazy sunday morning enjoy intellectual pursuit provocative stake emotion general idea cope feel passionate thing ve got baggage fit overhead re looking laid necessarily play rough re open thing don scare squick easily play bateman sabrina vice versa,white,68,30000,artistic musical writer,2012 06 19 02 29,berkeley california,doesn rsquo kid doesn rsquo want,bisexual,like dog like cat,atheism laughing,,capricorn rsquo fun think,sometimes,english fluently,available
3958,38,fit,mostly anything,socially,never,graduated college university,quirky easy going fun spirited type seek comfortable sipping sparkly wine napa swigging beer dive bar eating food truck excites much prospect eating somewhere slanted door rode bicycle drove prius think stereotypical san franciscan slightly geeky liberal foodie listens npr life jean tee owns plethora apple gadget despite fact coordinated enough ride bike physically active person hiking running rock climbing acrobatics dancing although pretty darn good lazing joie de vivre looking someone seemingly serious actually pretty silly laugh lot curious outgoing individual like try new restaurant attend art reception explore world,staying positive learning walk hand searching recipe best peanut butter brownie devising plan let travel work le,knack saying funny thing right time make friend snort drink nose craft grandmother sewing crocheting knitting painting name craft,people usually notice hair usually streaked bright color pink purple blue etc,book complete sucker book written series consists thousand thousand page harry potter lord ring song ice fire etc anything short sweet story david sedaris tina fey movie love watching movie ll watch sci fi indie foreign doc action film basically anything isn ro favorite movie include blade runner city lost child matrix show game throne sherlock masterpiece mystery dr dexter office downton abbey mad men music 80 new wave music love beastie boy pavement sad mca excited pavement getting back together current music includes black key beach house cat power yeah yeah yeahs food obsessed eating good food doesn fancy tasty anything spicy deep fried topped cheese get thumb,friend family good conversation good meal laughter craft supply full night sleep computer fast internet connection web producer,widowed age 37 help think fleeting life thankful alive constantly finding way enjoy life fullest often thinking next meal will,tend lay low monday friday night night week though usually fun cooking friend eating hanging bar watching movie checking art,hmmm,ve read far part widow didn scare away awesome peanut butter brownie recipe share re well adjusted shit together easy going sense humor sarcasm plus book hard feeling deal breaker kid don kid want involved anyone child yes know horrible sound ve spent adult life pumping full hormone prevent pregnancy feel home stretch religion spent childhood steeped religion now run away drug don care used hard drug currently use good match,asian,65,,entertainment medium,2012 06 28 22 36,san francisco california,doesn rsquo kid doesn rsquo want,straight,like dog,atheism somewhat serious,,leo rsquo fun think,,english fluently french poorly,single
3959,40,fit,strictly vegetarian,rarely,never,graduated master program,found cheap ticket madrid left next day took bus france started walking five week later crossed northern spain staring atlantic wondering walk next twice ve lived sri lanka sometimes talk bicyclist putting helmet hanging handlebar actual head always will try turn parked car headlight count amount time either ended something thought never woken laughing sleep one time work lost 1000 screaming name every local radio station remember except apparently one randomly calling phone another time knew getting someone fired going cost job anyways time banned bikram yoga place ornery decade changing sky porch stunned reverence,lately ve poorly played ukulele succumbed love practice hate yic yoga industrial complex relationship local yoga often involved form barter last week lip sad quiver returned five week bali,wriggling excitement feral parrot fly irreverent without sarcastic getting around country extended amount time trying new thing attempting read aloud despite brain garbling dyslexia appreciating band small child shout sing finding us thing others leave street believing evidence ability raise electronics dead,apparently lead wonder whether someone already know ani difranco,written word truthout org farewell subaru head bee season catfish mandala cambio de armas funny boy reef uncomfortable dead apex hide hurt waking roethke asian coming beau sia cdb one belongs hummingbird daughter pantoums subtitle even quick read type time traveler wife coffee will make black list go indefinitely screen try keep locally run theater alive sometimes fail parkway now red vic perhaps day balboa oiga mi gente please take yeh netflixed hulued arses one indie 10 now particularly appreciated machinist void woodsman infernal affair beautiful boxer girl leapt time colma microcosmos run lola run ma vie en rose freeway el mariachi twitch shout edward scissorhands station agent river tide original muppet movie camila heroic trio warrior wiz king kong amelie ear living room dance kpoo many thing leak random play american life count music food multi colored home cooking partial soup live saag paneer veggie warm spicy lemony fruity fry tater tot happy,well guessing without prefer without coming era mixed tape library brussel sprout hot evening sf snacking dad necessarily order,lot mean small significant whether bother concerned extreme limitation memory stunning power human mic chinese government treatment tibet young people role might play life whether keeping profile despite 99 belief online dating path mean hopeless romantic lurks everything isn made bamboo hemp folk seem think bisexual synonym incapable commitment maybe go back looking word dictionary,35 30pm staring amazement amount mostly male youth 35 50 mean choose stuff classroom watch manner movie friday night 45pm asking possessed agree host particular control club 7pm shoving classroom regardless sweet singing popular life song 02pm grateful silence grateful 03 anything possible,despite love social justice rye bread beet form bub tic hear term burning man eye roll strange getting,didn misrepresent profile much ask,white,62,,education academia,2012 06 29 15 54,san francisco california,doesn rsquo kid,bisexual,like dog like cat,judaism laughing,,capricorn rsquo fun think,,english fluently spanish okay,single
3979,27,thin,mostly vegetarian,,never,graduated master program,27 year summed 27 word grew east coast came california graduate school stayed software engineer now enjoying life fully got back norway amazing trip almost nothing went planned may best trip ve including link extremely long winded travel blog get across personality better short summary craiginnorway tumblr page,company launching new product taking much time sound ie lead engineer spend lot time front screen keyboard hanging friend rock climbing generally enjoying life,making people laugh science choose believe fantastic rock climbing ve told fantastic karaoke nothing putting good show,thing actually heard smile eye beard necessarily order,book house leaf brilliance beyond brilliance haven read done injustice let see dark material trilogy anything pratchett american god comic bone movie scott pilgrim kong pow anything jason statham show south park daily show colbert report korra avatar last airbender wakfu hugely cartoon animation music poe always will favorite artist eclectic ll admit awful taste music top band think top head ludo nine inch nail evanescence epica cake gorillaz anamanaguchi styx barenaked lady food pizza sushi anything sweet,people toaster strudel intelligent conversation music sunlight awesome trip,live life will make great story company startup take surprising amount time energy,bad repetition,almost unhealthy obsession awesome ikea tendency go least month,programmer want write true way geeky message fall either following category re awesome want hang rock climbing hiking exploring area whatever re awesome looking long term relationship generally don go short term fling,white,71,,science tech engineering,2012 06 27 19 00,mountain view california,doesn rsquo want kid,straight,like dog like cat,agnosticism laughing,,capricorn doesn rsquo matter,,english fluently japanese okay,single
