,age,body_type,diet,drinks,drugs,education,essay0,essay1,essay2,essay3,essay4,essay5,essay6,essay7,essay8,essay9,ethnicity,height,income,job,last_online,location,offspring,orientation,pets,religion,sex,sign,smokes,speaks,status
598,40,average,anything,socially,never,graduated college university,born raised bay moved back sf last year seven year san diego sd great place san franciscan heart need close family uncle two now true friend hard find socal glad home ready meet new people dating site,manage pr tech company enjoy career work doesn define truly enjoying ll find grabbing dinner drink friend see band play local club running exercising enjoying city marin tahoe great area love travel need travel partner work trip europe last month got ready plan real european vacation travel partner please apply asap time meet partner crime best friend around girl full awesomness word attitude guess important enjoy someone company fun will go supposed go,evidentially really boring crap people re read profile snooze made far don know tell ya anyway good fun whenever appreciate responsible adult really stomach day week gotta fun enjoy life looking married kid buddy old line dating kind weird bag trick good fun come truly bizarre stuff end enjoyable experience chance meet decide re match admittedly elusive year well hey neat cliche believe happens reason,smile friendliness,inception shawshank redemption gladiator usual suspect shawn dead casablanca curb enthusiasm breaking bad son anarchy true blood east bound walking dead game throne autolux twilight singer wilco muse creeper lagoon pete yorn foo fighter black key arcade fire jealous sound stop listening new one,ocean traveling good wine great food local restaurant cooking someone tempur pedic pillow live music family friend,choice brought regret important remember past lesson learned way never want guy say wish done hope partner,meeting happy hour dinner friend movie home wine,simply watch damn spca commercial sarah mclachlan song one willie nelson song,read still think guy want grab beer laugh people anytime oh new amendment send note profile contain picture yoga pose front famous monument picturesque scenery live action shot jumping enjoying burning man sporting southwest cowboy hat kidding kinda,white,68,100000,sale marketing biz dev,2012 07 01 08 24,san francisco california,doesn rsquo kid want,straight,like dog,catholicism serious,,leo,,english fluently italian poorly,single
643,24,average,strictly anything,socially,never,graduated high school,describe one word quirky yup think sum,take picture,doin dorky dance,smile suppose,read watch much movie music dance one watching food omg heart food,son form communication random adventure roll film yes still use film pj pant ice cream something sweet,burrito,depends feel,don drive,want don really care decide contact least little creative kthx,,66,,artistic musical writer,2012 06 28 12 18,alameda california,kid,straight,like dog like cat,agnosticism serious,,taurus rsquo fun think,,english fluently,available
702,24,jacked,mostly anything,socially,never,working college university,laid back guy looking partner crime san francisco native total smarta consider pretty nice easy along reading watching movie going run cooking traveling new place old one food good,currently school sf state getting ba anthropology political science trying figure whole suspended animation thing will work goldfish really happy right now thing better doesn everyone feel way overall satisfied,everything nothing willing try see happens end okay well awesome,tell,book confederacy dunce persuasion tin drum angel america bless ultima one hundred year solitude stardust night fall geek love movie bringing baby pather panchali 400 blow dans paris england broken english slum beverly hill young lifetime africa edward scissorhands mermaid swimming pool layer cake tv buffy vampire diary modern family bored death trueblood oc nanny love lucy 30 rock masterpiece classic game throne barefoot contessa music clash smith kid cudi mo def adele david bowie iron maiden juda priest amy winehouse fleetwood mac robyn queen scissor sister crooked vulture foo fighter ramones blondie kylie black sabbath food mexican italian sheperds pie greek vegan never plan one open anything minus dog cat,air venti americano computer hot cheetos know gin bar soap keeping real,world quite scary place toddler tiara re small look miniature hooker incredible enrique iglesias mole mean one day next ma,either dinner drink drinking writing paper reading veging front tv dancing underwear sleeping,actually 150 year old,re nice guy looking fun tech nerd teach work dvr make computer faster,hispanic latin,70,,student,2012 06 27 08 52,san francisco california,doesn rsquo want kid,gay,dog like cat,agnosticism serious,,scorpio,,english fluently spanish fluently,single
737,25,fit,vegetarian,socially,never,graduated master program,midwestern born southern educated colorado conditioned california explorer,taught 9th grade student denver co past two year now work tech know come next,finding parking spot friday night exploring bay area making chocolate chip cooky,laugh loud,love bluegrass anything barbara kingsolver good whiskey drink terrible movie step,coffee bike ski recreational gear country music clymb similarly addictive deal site chocolate chip cooky gooey one tempur pedic pillow,win hunger game next bike ride dog bella,normally friend grabbing beer,faked eye exam 4th grade glass,re mountain man trapped sf,white,70,,sale marketing biz dev,2012 07 01 07 15,san francisco california,doesn rsquo kid,straight,like dog dislike cat,christianity serious,,pisces doesn rsquo matter,,english,single
738,52,fit,mostly anything,often,never,graduated master program,hmmm mom teacher outdoorsy adventurous pretty happy pretty open minded person single mom kid really young balanced work family life think pretty well actually really well love work good friend sometimes feel life full need add variety basically pretty content outside weekend particularly committed fanatic fit healthy love ski hike walk run bike recreationally pretty willing try anything physical weakness margarita chocolate manage eat fairly healthily really committed family meet someone value well kind home body isn say don night home much one movie concert movie want someone pretty sure trying figure try honest hope find someone value thinker talker well someone like talk time love travel don lot right now hope add life next year,teacher young child lab school affiliated stanford love job variety supervise teacher stanford student even teach class hum bio department present professional adult community love kid good job always learning new thing two teenage kid great love parent enjoying phase despite challenge come spent big chunk life committed parent important time really trying make time getting fun thing socialize try new adventure beach nice find someone liked fun thing music outdoors dinner theater movie game,mom supporting friend fun drinking margarita balancing lot stuff flexible opinionated time,capacity fun,love kind food eating love hear music don tend follow band know something love people know play music don read fair amount mostly fiction work related usually don remember title tell detail reading time love go movie scary bloody one,family friend exercise nature outdoors pet intellectual stimulation fun,want add life much might want change kid add world,either friend excited bed good book going movie,really good listener,interest conversation learn tell,white,68,,education academia,2012 04 23 20 26,menlo park california,kid doesn rsquo want,straight,dog cat,christianity serious,,sagittarius rsquo fun think,,english fluently spanish okay,single
753,29,thin,vegetarian,often,sometimes,working master program,new moved sf latvia study art direction ve bin told good idea point view people weird point view probably weird don know right way put let say one thing one thing die alone,right now study study study building portfolio,idea creating idea,head probably,literature bukowski vonnegut palaniuk kafka murakami remarque hemingway thompson etc music portishead massive attack little dragon grime madlib bonobo smith tokimonsta etc movie von trier gilliam jarmusch lynch mendess inarittu fincher gondry jeunet etc food vegetarian love dolphin meat,alcohol cigarette book movie place call home idea keep mind busy laptop got keep list contemporary,monkey albert first monkey space,drinking somewhere,dancing,feel,white,72,,student,2012 07 01 00 46,san francisco california,doesn rsquo kid doesn rsquo want,straight,like dog like cat,agnosticism serious,,virgo doesn rsquo matter,yes,english fluently russian fluently latvian fluently,single
757,28,skinny,strictly vegetarian,rarely,never,working two year college,really know every time think ve got world surprise love friend family cat least taken care ve vegetarian twelve year butcher six ve medic army reserve three year got back year afghanistan month ago used think wasn anything world haven seen done still single haven met right person yet,got back tour duty afghanistan settling back home fall go back school nursing degree ve reconnecting friend family soaking good life state still trying learn juggle,saying wrong thing best time really good reading people knowing re feeling time pretty good cook even vegetarian mix decent drink nothing won friend,hair blonded week coming home little bit impulsiveness ve always wanted well ve got lot tattoo love aviator sunglass something may seem bit detached first might true always million thing mind moment,everything haruki murakami written microserfs beach definitely movie star war movie especially bad one chungking express trainspotting super guilty pleasure movie hacker watching hell game throne live mad men need laugh adventure time music stroke early stuff blonde redhead album except first one white stripe jack white started dating model whenever zooey deschanel sings food get kinda boring ve vegetarian long smart bacon blt flaming hot cheetos always fill,dr pepper veggie burger cheese french fry pollo berkeley iphone flaming hot cheetos family friend order,future past alternate history go back time back future pt2 style give book sport score win bet become billionaire think novel writing sit start without getting distracted guess think great learn new language,babysitting year old niece aki teaching play video game ipad helping learn counting suppose,ve gotten heart broken time hard feeling ve done others without realizing,want talk hang see go don know want relationship ve done single guy thing fun anymore,asian,67,20000,medicine health,2012 06 27 21 01,san francisco california,doesn rsquo kid want,straight,like dog like cat,serious,,leo doesn rsquo matter,trying quit,english fluently,single
770,47,average,mostly vegetarian,,never,working college university,lady life work marin county value great joy life appreciate smallest thing gesture random act kindness zest fun laughing humor important lady integrity moral compassion life short worry little thing active woman love dance work hike bike swim ocean preferably warm water appreciate variety music love beach jog beach comb treasure walk dog anywhere let run leash two 10 lb dog love travel go movie museum comedy show musical event concert hope find good friend firstwith hope romance friendship,living one day time surrounding positive people,making people laugh silly well compassionate empathetic finding positive challenging situation spontaneous going flow choosing happy right,warmth general good nature smile,woman run wolf deepak chopra anything joseph campbell marianne williamson biology belief lipton florence scovel shinn postcard edge bird cage beautiful mind man la mancha castaway bourne identity triology ocean 11 12 13 gladiator master commander chorus line cirque du soleil phantom opera romeo juliet car hangover ii james bond chinese cashew chicken aything cheesecake factory menu latin music country rock nroll jazz classical island rhythm,god family great friend doggy faith hope love nature,purpose life help le fortunate donut hole got name hole couldn see called donut ball,dancing going movie hanging bff home fire watching movie alone time awwwwhhh nice long work week,really,sincere compassionate love nature love dog great sense humor must easy going love laugh moral value integrity care elderly care le fortunate goal don sweat small stuff,hispanic latin white,63,,sale marketing biz dev,2012 06 30 08 41,san rafael california,doesn rsquo want kid,straight,dog,christianity somewhat serious,,libra doesn rsquo matter,,english fluently spanish okay,single
775,20,average,anything,socially,never,working college university,definitely masculine side straight acting natural originally west la going school usf planning entertainment international lawyer living either los angeles new york city london vancouver love nice car type food jewish culturally religion define little bit ny attitude hope handle,college working bachelor political science minoring legal study,making people happy sexually talk people easily great driver yeah kinda good lot thing,outgoing friendly eye change color depending wearing re pretty color day people will tell,don read book saving private ryan scary movie series many comedy jersey shore trutv reality tv family guy jerry springer judge judy maury techno elector hip hop hyphy bay area rap food,iphone family friend internet good food music,becoming successful college hot guy,club bar party,afraid spider tend use bathroom lot probably tell bathroom almost mall department store ve oh allergic jc penny literally allergic reaction every single one ve,re hang fun wanna message,white,70,20000,student,2012 04 17 19 12,san francisco california,doesn rsquo kid might want,gay,dog like cat,judaism serious,,cancer doesn rsquo matter,,english fluently spanish okay russian poorly,single
791,52,average,vegetarian,rarely,never,graduated master program,academic counselor middle school christian love take long walk exercise adult child youngest still life home one beautiful granddaughter enjoy life live moment love laugh don drama,working hard work summer love travel finished writing first novel look publish new year,cooking conversation helping others see thing differently,eye smile friendly,enjoy reading motivational book self help love romantic comedy sci fi always watch jeopardy grows knowledge base love lucy cosby show rerun corny make laugh,bible mind freedom ability give ability love popcorn,gonna next,relaxing home long work week,nothing yet,know,black,67,100000,education academia,2012 06 07 15 09,hayward california,kid,straight,dog cat,christianity serious,,sagittarius rsquo fun think,,english fluently sign language okay,single
793,29,curvy,strictly anything,socially,never,graduated master program,bay area home prior grew russia age lived chicago two year grad school moved around younger love different culture travel mus play wannabe photographer love dance salsa bachata merengue club living room fairly active playing tennis skiing ve now decided start running improve tennis movement prove far good overall plan future ready go flow adventure lead tend look upside thing life love laugh cheek hurt don spend time worrying something control focusing negative well anything isn better spend energy something change,working finance making sure client know re getting acquisition well getting bang buck hanging friend taking trip across country see training dog animal rescue playing tennis enjoying outdoors rooting rf raider,filling essay clearly feel talent,smile rare case smiling gonna guess red hair,show vampire diary know big bang theory friday night light lost hero realize three show longer air need suggestion music placebo green day audioslave within temptation rasmus afi chemical romance eminem adele michael buble kind hip hop dance music food sushi ramen russian comfort food mention sushi course really company movie gladiator time fave specialist demolition man xxx casino royale lotr trilogy watchman chronicle riddick town bourne movie inception expendables actually pretty much anything stallone yes even oscar fun action though meaningful movie artist tinker tailor soldier spy donnie darko secondhand lion,family friend travel car loyalty music speed kitchen aid mixer making baking easier one cake time,meaning life still sure got 42 math major,thing typical friday night cue infomercial voice possible outcome include dancing dining wining friend playing tennis baking curling book reading,hm yeah gonna tell glass wine,raider baked good tennis outdoors action movie tv show suggestion want make laugh simply want,white,64,,banking financial real estate,2012 06 28 22 41,oakland california,want kid,straight,like dog,judaism,,cancer doesn rsquo matter,,english fluently russian fluently french okay,single
795,46,fit,mostly vegetarian,socially,sometimes,graduated ph program,stable open marriage quest beautiful life lived earthship hiked appalachian trail three state jumped airplane flight made multiple degree program excellent communicator feeling pink elephant best actively listening someone sharing unique deeply personal transformative difficult experience strongly value experiential learning knowledge interested people different looking non judging excellent communicator feel comfortable flirting online via okc email chemistry move meet greet hopefully evening shared fun pleasure,constantly pushing boundary improve communication expand knowledge explore sexuality deepen spiritual experience reducing carbon footprint work progressive team greentech company interesting challenging work ride bike work car free don watch television,true respectful others nonjudgmental great pleasure understanding another person really enjoy getting intimately know another person including deep dark secret stuff,smile kilt energy,love sweet sugar flour chance will enjoy eating enjoy savory spicy dish best trying new food new taste discovering something go week without eating meat movie make cry chick flick underdog overcoming tear jerker enjoy show star trek absolutely fabulous read mostly non fiction organizational excellence occasional airport fiction thrown really going doctor office read people magazine currently listening good great reading crossing chasm listen pandora random internet radio station around world well reggae top 40 dance hit hip hop chandra led zeppelin find listening alone turn volume lot,life partner health card dealt beautiful place live photosynthesis sunshine challenging project particular order,efficient way accomplish task use strength overcome weakness business excellence process improvement team building motivates people including,friday night home sharing traditional meal,struggle chit chat,interested real conversation building tension intention developing sexual relationship enjoy exploring challenging subject comfortable discussing expectation date pick tab,white,72,150000,science tech engineering,2012 03 29 09 12,berkeley california,kid,straight,dog cat,judaism laughing,,aries rsquo fun think,,english fluently hebrew poorly spanish poorly,available
819,21,average,mostly anything,socially,sometimes,working college university,macro theory kind person look big picture sometimes sacrifice small detail two passion food music finishing bachelor degree medium art san franciscio state laid back kid smile lot love create advertures working summer summer camp peninsula teaching film production middle schoolers,studying medium san francisco state city almost done degree want move somewhere warm surf good make electronic music cook,asking question dancing rolling sushi,smile,book simulacrum simulation baudrillard manufacturing consent chompsky liberty mill giver lowry animal farm orwell power one courtnay amp electric kool aid acid test wolfe film apocalypse now jackie brown cool hand luke barfly psycho lost boy neighbor totoro amp endless summer music lazer sword simain mobile disco major lazer soulwax black flag descendant amp acid house,rhytm mexican food water leg girl little umbrella cocktail,universal law natural pattern correlation,going see electronic music show somewhere city producing music drinking beer friend,watch gossip girl roomates,want let know favorite color,white,74,20000,student,2012 06 27 22 33,san francisco california,doesn rsquo kid might want,straight,like dog dislike cat,atheism laughing,,aries doesn rsquo matter,trying quit,english fluently,single
822,23,average,mostly anything,often,never,graduated college university,artist gaming company really want illustrate graphic novel guitar get played sketchbook get filled simple creature,drawrings,finding picture magic eye poster,fly,book comic book world war brave new world movie superman movie christopher nolan film ip man love actually don fooled succesors best star studded fuzzy frenzy back future trilogy matrix trilogy though done finding new film blow mind show community firefly dexter walking dead mad men avatar legend korra young justice music black key black star mo kweli separately jimi hendrix paul simon king muddy water blue hip hop rock mainly food spicy,sketch book pencil eraser guitar favorite newsboy hat whiskey,math,drinking roommate,hardest work art piece bar napkin post shopping bag coffee cup etc leave random place unsigned hoping will find way someone will appreciate,boredom taken even reddit cure,asian,71,,artistic musical writer,2012 07 01 01 13,san francisco california,doesn rsquo kid,straight,like dog dislike cat,agnosticism serious,,taurus,trying quit,english,single
830,35,little extra,strictly anything,,never,working space camp,open book live breathe love much possible raised bouncing back forth portola ca bay area involved recovery used alot drug mainly meth weed september 24th 2009 remained completely clean snd sober day day,currently raising youngest daughter aiming increase income well education,everything put completely,sense humor eye told nice look,anything interesting anything make mind work,skateboard child woman sibling mom recovery friend,random as stuff poetry run thru mind consistently,never typical midnight commitment coffee anyone,testicle beat testicular cancer 09 sucked as truly blessed yes everything still work well,feel need,white,74,,,2012 05 28 23 31,hayward california,kid want,straight,like dog like cat,buddhism laughing,,virgo rsquo fun think,yes,english fluently sign language fluently spanish poorly french poorly,available
839,26,athletic,mostly anything,socially,never,working two year college,say going laugh good time outdoor activeties athletic physically active thing surfing wake boarding working swimming basketball idea huge animal fan love country love ride horse well really anything horse including brushing sadling washing adventurous love try new thing probably fun something new never tried spontaneous time people although don mind planning thing love family family oriented grew big family keep close contact family oriented big plus new original thing date old thing going movie getting something eat don wrong little original fun although active still enjoy relaxing reading book watching movie anything want know ask open honest person love getting know new people developing new friendship,right now working prerequisite nursing program enjoying life,making people laugh good time massage therapist enjoy giving massage,maybe outgoing laugh,mostly fantasy book open anything kind movie country favorite listen kind except metal,daughter family best friend ipod food laughter,future nurse accomplishment want achieve fun thing want indoor windtunnels surfing,looking friend hang go somewhere,well wouldn private now,want new friend anything great hanging trying new thing spontaneous re spur moment kind person let go,white,71,,student,2012 05 05 19 40,vallejo california,kid,straight,like dog cat,christianity somewhat serious,,aries rsquo fun think,,english fluently sign language okay,single
859,26,skinny,mostly anything,,never,working space camp,reading profile greatly enhanced playing background youtu ptixbsafybs skylar call charismatic freight train efficiency humor favorite thing listen laughter nice music playing background love parent crazier competition lived sf 12 year don quite knowledge level city native think pretty solid work lot make free time active really important always looking new way challenge physically bike shoe take everywhere worth noting straight edge well really long story re interested ask mean booze drug don really cigarette something,living long term goal great someone flip table,making people laugh breaking awkward silence let known leave comfortable silence alone video game board game pretty handy come building bike stuff fairly savvy computer crazy super hacker anything,eye,book player handbook calvin hobbes fight club kingdom come identity crisis ender game elric melnibon series conan ultimate amp game throne everyone poop hatchet sandman movie lord ring star war star trek new old big trouble little china princess bride inception childen men dark city inception alien galaxy quest district sand lot big green enemy gate great dictator willow 5th element lucky number slevin show top gear uk community lost dexter mythbusters daily show colbert report arrested development scrub venture brother game throne rome adventure time avatar last airbender batman animated series fringe spaced need girl friend music explosion sky god speed black emperor bonobo qwoon 65 day static glitch mod russian circle yelle sage francis atmosphere murs blackalicious austra zola jesus daft punk han zimmer john williams yeah yeah yeahs blondie woven hand,bike lady life sound track dice game internet sun,improve help others around might happening alternate timeline version reality old people ruining world slowly leave convince rid penny,working fnm oh joy employment,really private huge nerd work selling game huge part fair warning asking much damage magic missile will ask level wizard imgur tlebx gif imgur ssozg gif,re interested find sending message okcupid guy frustrating lady numbered three one think along maybe even curious send message take,white,74,,,2012 06 30 18 43,san francisco california,doesn rsquo kid doesn rsquo want,straight,dog like cat,atheism somewhat serious,,gemini rsquo fun think,,english fluently english poorly,single
862,39,fit,mostly anything,socially,never,graduated med school,point interest open new adventure new friend currently debating traveling croatia spain morocco summer happy chilling home house party recently made salted caramel almond crunch malted milk chocolate cake brother birthday shy grabbing mic karaoke,working science medicine studying ovarian autoimmune disease trying spend quality time friend family searching next best ice cream spot sf facebook itching go dancing type dance will salsa ballroom club,baking birthday cake dissecting small animal cheering friend ve bad day,smile hair,book gone wind rule four cake bible middlesex movie avatar despicable inconvenient truth show downton abbey nikita voice music good music food good food better good dessert wine deserves category viognier vouvray pinot noir bordeaux,chapstick yoga good friend good book coffee internet,much better surfing,enjoying delicious food friend,named canadian olympic diver dive,need date ballet want lend copy hunger game,asian,64,,science tech engineering,2012 06 27 14 08,san francisco california,doesn rsquo kid want,straight,like dog like cat,agnosticism serious,,virgo rsquo fun think,,english,single
870,28,full figured,mostly kosher,rarely,never,graduated college university,pretty laid back person love laughing people joke enjoying friendly banter enjoy new experience learning new form creative expression always open hearing another person favorite music going new exciting place even don always think thing girlfriend will complain playing many video game hell ll likely curl next watch sometimes staying indoors good movie game good drink fun going,artist 2d animator work small company mobile social game love job great time,cooking sewing diy almost anything creative whether mean trying new recipe costume making refinishing piece furniture,friendly person bit shy feeling opinion know person always counted interesting conversation myriad topic,movie princess bride movie book labyrinth matrix pirate caribbean sherlock holmes pretty much anything made pixar show mostly watch cartoon documentary odd mix know really program dirty job mythbusters historical science based learning program love watching well made cartoon avatar last airbender book art book count aside adore classic poe shakespeare lewis carole etc music eclectic musical taste love everything classic jazz big band modern alternative world music even occasionally techno favorite artist include ella fitzgerald gogol bordello rammstein food kind food raised mostly italian jewish country cooking enjoy new taste huge fan thai indian creole name big fan trying unique beer wine,specific order variety thing great whether creative project work food eat way exercise restless don spice routine good friend think go without saying inspiration always love see others creative art idea work process family tie family important part animal hey include guy somewhere three cat owned lot different kind animal past beauty life full beautiful thing always try stop appreciate,tough one think lot thing think latest project think friend family think place life everything really think one topic dominates time others though,usually home love unwind friday making extra awesome dinner relaxing movie glass wine,ve spent lot time past worrying fact girl interest physique now know thing held back starting relationship bit cliche want guy appreciate quirk,want possibility long term relationship,white,67,,entertainment medium,2012 06 17 19 26,oakland california,doesn rsquo kid want,straight,like dog cat,judaism,,taurus doesn rsquo matter,,english fluently,single
874,44,athletic,mostly anything,socially,never,graduated two year college,single parent beautiful daughter looking romance busy person fitness trainer find spending rest day gym hopefully find someone laid back homebody,fitness trainer passionate changing life working butt homeowner next year,cuddling kissing making,eye,romantic comedy movie self help book,facebook fitness gadget email newspaper cellphone last one sex,meeting special someone spend ltr,still working client,will tell later,healthy lifestyle love cook,asian,60,60000,sale marketing biz dev,2012 06 30 18 09,hayward california,kid,straight,cat,catholicism somewhat serious,,scorpio rsquo fun think,,english,single
875,30,athletic,strictly anything,socially,never,working master program,seeking self actualization moral may cheat much life aim morality simply good good something henry david thoreau,nomad looking place call home ve escaped minnesota lived past year living working tokyo originally detroit born raised primarily schooled michigan time ve made way bay area eager explore make new friend hailing university michigan consider big dork studied molecular biology material science currently working correspondence master program university medicine dentistry new jersey grad school interesting enough stepping stone way bigger better thing corporate lackey major medical device company blah amazing australian cattle dog named smurfy love death enjoy skiing rock climbing running jumping rope playing tennis working camping traveling learning salsa dancing riding motorcycle working learning playing playing relaxing everything need serve purpose unless course moping around soul searching writing personal tragedy,problem solving strategy creative thinking anything involving stamen dedication,cartoon light bulb floating head traveling circus follows wherever go,depends mood neil strauss game micheal crichton sphere john hurst hurst heart dean koontz odd thomas series fred feldman pleasure good life vikas mittal nanocomposites biodegradable polymer gattaca 1997 star trek 2009 zoolander 2001 spider man 2004 bleep know 2004 walk hard dewey cox story 2007 anchorman legend ron burgundy 2004 mel brook producer 2001 victor hugo le misrables 1987 richard morris thoroughly modern millie 2002 dream falsetto jill scott long walk pac want genuwine jean robin thicke mornin kaskade 4am adam amp soha mix alicia key un thinkable ready oscar trio move funk flex jazz mix ludacris sex room feat trey songz john legend don care eric benet feat tamia spend life,music music harmony life don know without exercise exercise make sense fair impersonal doesn care know cool give get rely accountability work hard result rest world isn fair smurfy australian cattle dog smurfy pure love open mind open mind without open mind every average frustrated chump toast personal goal goal give passion goal give opportunity achieve virtue live well obsession obsession smart man without obsession wouldn ability excel perform peer,see,homework,afraid sheep especially re herd yikes,re looking adventure amp whatever come way,black white,71,100000,medicine health,2012 07 01 04 17,san francisco california,doesn rsquo kid want,straight,dog like cat,catholicism laughing,,pisces rsquo fun think,,english poorly japanese poorly,single
878,28,fit,strictly,rarely,never,graduated college university,ton stuff written redistributed information hidden envelope across world happy hunting seriously though read character watch movie re hellz nah don ruin journey surprise said born renaissance attitude mentality full thing chivalry honor may saying great need people don realize today society geared old fartyness type thinking sum people seem believe someone go way kindness alone always assuming sort ulterior motive present suck true blend wait don blend stand blending weak ram top mt everest dressed suit sporting snowboard holding two jar napalm ready go honestly believe going everything grounded people play safe realistic ask following name one great person someone changed life world one aforementioned quality yeah thought impossible big word thrown around small men find easier live world ve given explore power change impossible fact opinion impossible declaration dare impossible potential impossible temporary impossible nothing muhammad ali,moved san francisco new job fx kickass game company yay digital artist cgi movie video game interested savvy lingo shading lighting simulation fx work completely flip side thing stunt martial art choreography film motion capture huge change sitting as day front computer hah well everything course write screenplay poem short story character profile random article script dialogue dj vj improv licensed masseuse cook chef yak totally want custom yak toque build machine help theoretical physic research travel country greece cayman turkey japan etc learn learn learn don know don someone find pay 600 dollar someone fix motorcycle pay 000 go month technical college learn fix,creating cooking martial art debating learning understanding absolutely ridiculous getting others ridiculous,usually goatee commonly shaped one super forward seriously going lie even bout silliest thing make feel better going callous really look bad dress well may recommend something sooner hate telling truth adore telling lie pietro aretino,come music listen everything literally everything chinese folk music rock african tribal electronica folk metal beyond take tour de farce music daily leaving corner musical spectrum unheard don really watch much tv ve cable year yes know online work computer time away glowing screen much needed looney tune far favorite closely followed aqua teen hunger force house full metal alchemist seinfeld game throne love fight quest twin peak mxc human weapon dbz doraemon favorite movie time shawshank redemption love movie crouching tiger hidden dragon ninth gate perfect blue irreversible peaceful warrior redbelt talented mr ripley zoolander space ball anything monty python dead leaf meal wheel inception drunken master avatar movie valhalla rising changed life favorite book tale genji romance kingdom redwall anything martial art related,brother sound amp music emotion unknown competition aaannndddd art taco,absolutely everything good analogy give following speed light able simultaneously hold destroyed library alexandria wealth internet hand correctly represent second thinking waking life now dreaming life wwhhoolleeee different story don worry people thinking re busy worrying re thinking,working gaming training writing drawing hanging driving reading sparing watching movie chilling beach downtown conversation anything everything anyone perhaps trying figuring way successfully bend light way give earth perpetual halo,private hah instead listing absolutely daunting array thing ask ye receive everything better barefoot,seriously pretty simple actually message feel messaging man tough whew even don feel still throw high five random bit knowledge anyway find relationship ya know described right section section let,white,70,70000,entertainment medium,2012 07 01 02 07,san francisco california,doesn rsquo kid want,straight,like dog like cat,serious,,aries rsquo fun think,,english fluently japanese poorly fluently,single
